#{"t_start": 1679415267.1031415, "env_id": null}
r,l,t,ruined grasses
1,25,65.754003,12
1,36,65.868107,14
1,43,66.008234,18
1,31,66.108326,18
1,49,66.268471,18
1,34,66.378571,17
1,28,66.468653,9
1,30,66.56474,19
1,27,66.651819,6
1,40,66.78144,13
1,29,66.911559,18
1,31,67.017656,17
1,28,67.112742,14
1,37,67.233852,10
1,26,67.320931,14
1,26,67.409011,12
1,35,67.525117,21
1,41,67.659238,25
1,46,67.810376,13
1,34,67.923479,12
1,26,68.009557,15
1,36,68.126677,19
1,33,69.901276,11
1,36,70.010375,16
1,40,70.131485,15
1,41,70.30264,14
1,26,70.392722,17
1,28,70.483822,20
1,38,70.605933,10
1,26,70.688008,14
1,41,70.828135,19
1,25,70.923224,16
1,28,71.027319,10
1,35,71.154434,20
1,24,71.2265,11
1,52,71.384643,18
1,38,71.498747,13
1,33,71.597837,12
1,34,71.701932,11
1,19,71.760985,14
1,37,71.911121,19
1,29,72.022224,17
1,26,72.1073,11
1,36,72.2174,19
1,46,72.361531,18
1,35,72.47063,11
1,28,72.556709,18
1,32,72.653797,20
1,21,72.717855,11
1,27,72.798929,11
1,36,72.91003,14
1,55,73.079183,17
1,27,73.16326,10
1,41,73.290375,18
1,28,73.378455,20
1,29,73.502567,15
1,43,73.654706,17
1,25,73.734779,13
1,98,74.04406,21
1,30,74.140147,11
1,58,74.323314,23
1,33,74.427408,10
1,23,74.499474,18
1,39,74.622586,9
1,36,74.737691,17
1,22,74.806753,14
1,78,75.053978,29
1,34,75.19811,15
1,23,75.274179,13
1,28,75.366262,20
1,22,75.436326,9
1,33,75.542422,15
1,20,75.605479,13
1,34,75.714579,5
1,22,75.784642,14
1,22,75.854706,14
1,23,75.927772,12
1,48,76.080911,16
1,40,76.209028,13
1,27,76.295108,17
1,30,76.391196,10
1,29,76.485281,13
1,23,78.201855,13
1,18,78.256905,5
1,26,78.335977,13
1,26,78.45008,14
1,32,78.553174,9
1,19,78.61423,14
1,22,78.681291,16
1,31,78.775377,13
1,29,78.864457,12
1,20,78.925513,14
1,33,79.026605,15
1,29,79.115686,19
1,25,79.193757,16
1,25,79.27483,14
1,20,79.337888,17
1,36,79.44999,17
1,30,79.543074,19
1,35,79.653174,15
1,22,79.722237,19
1,30,79.815321,17
1,40,79.941436,19
1,26,80.059544,13
1,20,80.13261,8
1,23,80.208679,12
1,23,80.281745,10
1,22,80.350808,10
1,20,80.414866,12
1,25,80.493938,10
1,29,80.586022,13
1,31,80.684111,15
1,29,80.776195,17
1,34,80.883292,15
1,27,80.96937,19
1,19,81.029425,12
1,30,81.124511,18
1,35,81.235612,20
1,22,81.305676,15
1,45,81.447805,12
1,24,81.524875,18
1,31,81.658997,15
1,30,81.76209,15
1,26,81.848169,13
1,25,81.928243,19
1,20,81.993301,10
1,23,82.067369,7
1,24,82.144438,14
1,23,82.218507,13
1,22,82.289571,13
1,27,82.375649,13
1,19,82.436705,3
1,41,82.568825,20
1,34,82.677923,19
1,23,82.751991,5
1,25,82.833065,15
1,22,82.904129,16
1,33,83.011226,13
1,33,83.119326,16
1,31,83.219417,12
1,25,83.340527,14
1,18,83.404585,12
1,22,83.481656,19
1,28,83.57374,12
1,22,83.645805,12
1,31,83.746897,22
1,33,83.853994,13
1,36,83.9711,16
1,24,84.049171,14
1,26,84.134249,18
1,26,84.218325,18
1,47,84.371465,20
1,24,84.449535,17
1,21,84.5176,10
1,30,84.614688,17
1,23,84.689756,11
1,30,84.786844,3
1,23,84.861912,18
1,27,86.623133,12
1,18,86.681184,10
1,32,86.785279,19
1,25,86.86335,12
1,20,86.924406,10
1,23,86.995471,9
1,24,87.069537,12
1,28,87.156616,13
1,22,87.224681,7
1,20,87.287739,15
1,25,87.365809,13
1,27,87.449886,14
1,23,87.521951,9
1,20,87.585008,11
1,27,87.670085,11
1,24,87.745154,7
1,19,87.805209,10
1,20,87.867265,12
1,24,87.943334,7
1,18,87.999385,6
1,19,88.059439,3
1,25,88.138511,10
1,23,88.248611,12
1,23,88.325681,18
1,24,88.411759,8
1,51,88.573907,19
1,32,88.674999,14
1,21,88.74206,10
1,21,88.809121,12
1,20,88.87418,10
1,25,88.953252,8
1,22,89.023315,14
1,25,89.103388,5
1,25,89.183461,9
1,45,89.326591,20
1,23,89.400659,8
1,29,89.492742,11
1,22,89.562806,9
1,22,89.632869,11
1,33,89.738966,13
1,22,89.80903,18
1,27,89.937145,13
1,26,90.028229,11
1,30,90.127319,8
1,33,90.234416,17
1,25,90.314489,12
1,39,90.439603,16
1,19,90.501659,11
1,27,90.588738,13
1,24,90.666809,15
1,29,90.760895,10
1,31,90.860986,15
1,30,90.957072,11
1,22,91.028137,14
1,26,91.112214,9
1,20,91.177273,15
1,24,91.256345,9
1,26,91.340424,9
1,26,91.425501,13
1,33,91.570632,14
1,20,91.643699,11
1,22,91.718767,8
1,23,91.792835,12
1,27,91.879914,9
1,20,91.944973,16
1,20,92.009031,15
1,29,92.103117,14
1,24,92.182189,15
1,21,92.250251,16
1,27,92.337329,17
1,36,92.453435,15
1,24,92.530505,8
1,31,92.632598,13
1,21,92.699659,13
1,24,92.77773,10
1,39,92.902844,15
1,19,92.9649,11
1,33,93.071997,12
1,19,93.133053,10
1,23,93.253161,16
1,20,94.979745,10
1,41,95.103858,14
1,26,95.181929,12
1,27,95.265005,10
1,22,95.331064,4
1,27,95.413139,12
1,23,95.483202,10
1,21,95.547261,10
1,18,95.602311,17
1,20,95.663367,8
1,26,95.742438,14
1,27,95.825514,13
1,20,95.886569,7
1,26,95.965641,7
1,28,96.050718,9
1,24,96.124786,16
1,20,96.187843,16
1,22,96.255905,12
1,20,96.318962,14
1,20,96.381018,9
1,29,96.513138,12
1,22,96.586205,13
1,21,96.660273,16
1,22,96.729339,11
1,23,96.801404,13
1,26,96.883479,20
1,26,96.965554,12
1,33,97.068647,14
1,24,97.143716,12
1,23,97.216782,10
1,18,97.272833,9
1,23,97.345899,8
1,18,97.402951,16
1,22,97.473015,4
1,21,97.539075,11
1,29,97.631159,13
1,27,97.717237,8
1,18,97.774288,11
1,23,97.847355,14
1,37,97.964461,13
1,20,98.028519,6
1,25,98.147626,9
1,37,98.274743,14
1,27,98.361823,9
1,23,98.434889,8
1,30,98.530976,10
1,25,98.611049,14
1,18,98.669102,9
1,21,98.736163,13
1,19,98.797218,9
1,24,98.873287,16
1,21,98.940348,14
1,24,99.017418,17
1,35,99.12952,14
1,19,99.190576,12
1,20,99.254634,13
1,23,99.328701,18
1,25,99.408774,11
1,26,99.491853,15
1,21,99.558914,11
1,19,99.619969,14
1,24,99.731069,7
1,25,99.815145,15
1,28,99.911234,11
1,18,99.970288,13
1,24,100.047358,15
1,25,100.132435,14
1,24,100.209505,15
1,26,100.293581,8
1,22,100.364646,9
1,26,100.448228,16
1,23,100.522296,6
1,32,100.62639,18
1,26,100.709466,10
1,18,100.767519,11
1,21,100.83558,9
1,25,100.916654,16
1,37,101.035762,12
1,24,101.112832,10
1,19,101.173888,9
1,20,101.238947,13
1,28,101.33003,10
1,24,101.445133,12
1,21,101.518199,16
1,18,101.579256,10
1,19,103.286959,14
1,20,103.349016,10
1,42,103.479134,21
1,18,103.535185,17
1,19,103.593238,13
1,20,103.655294,10
1,20,103.71635,9
1,21,103.781409,8
1,24,103.855476,10
1,29,103.944557,11
1,22,104.01362,15
1,20,104.074675,9
1,20,104.136732,10
1,18,104.192783,9
1,22,104.260845,7
1,24,104.334912,13
1,24,104.408979,15
1,23,104.479043,10
1,20,104.5421,12
1,19,104.636185,6
1,21,104.708251,8
1,20,104.775312,6
1,22,104.849379,7
1,26,104.931454,13
1,20,104.995512,4
1,21,105.061572,13
1,25,105.140644,12
1,27,105.225722,18
1,19,105.286777,9
1,21,105.353838,13
1,18,105.41089,14
1,24,105.486959,9
1,24,105.564029,16
1,21,105.63109,13
1,20,105.695148,14
1,22,105.765212,16
1,21,105.832273,12
1,29,105.924356,15
1,23,105.996422,13
1,22,106.066486,5
1,18,106.123538,10
