#{"t_start": 1679427792.4941602, "env_id": null}
r,l,t,ruined grasses
1,64,217.190503,26
1,54,217.380738,19
1,80,217.679131,36
1,39,217.823262,22
1,50,218.007609,25
1,70,218.318891,32
1,44,218.483145,20
1,57,218.695338,28
1,76,218.980215,41
1,67,219.231444,40
1,52,219.441635,17
1,46,219.626803,16
1,59,219.867021,18
1,46,220.053318,34
1,77,220.461833,22
1,53,220.677028,20
1,53,220.891223,16
1,68,221.168601,28
1,63,221.424862,36
1,46,221.61514,21
1,46,221.807315,14
1,50,222.017715,24
1,60,222.35302,19
1,39,222.527358,9
1,58,222.769578,30
1,68,223.053047,31
1,55,223.282256,36
1,53,223.502619,29
1,40,223.669771,29
1,66,223.94402,29
1,70,224.235443,24
1,41,224.481817,23
1,64,226.493155,38
1,43,226.673511,20
1,51,226.857678,27
1,52,227.044964,30
1,53,227.237138,27
1,54,227.432316,17
1,64,227.666655,33
1,43,227.824798,26
1,46,227.993952,27
1,43,228.215298,18
1,49,228.410475,35
1,55,228.617803,22
1,44,228.782953,24
1,45,228.953108,18
1,63,229.189539,33
1,41,229.343679,30
1,61,229.584072,31
1,45,229.766238,26
1,60,230.009458,16
1,46,230.273896,18
1,46,230.462067,25
1,53,230.676426,16
1,45,230.859593,19
1,77,231.172034,22
1,53,231.387229,21
1,48,231.582554,16
1,95,231.970907,29
1,44,232.154295,27
1,64,232.506616,35
1,50,232.714934,28
1,51,232.927127,28
1,54,233.152516,26
1,45,233.339686,17
1,60,233.590068,24
1,93,233.974793,29
1,49,234.177162,25
1,46,234.369337,20
1,145,236.795406,53
1,49,236.978573,28
1,51,237.169944,28
1,44,237.332091,22
1,79,237.6254,28
1,50,237.807632,31
1,52,237.998307,25
1,50,238.23664,15
1,45,238.422798,16
1,42,238.578443,18
1,67,238.826781,19
1,48,239.005944,29
1,50,239.193241,37
1,44,239.359391,25
1,67,239.611621,27
1,49,239.808905,28
1,40,239.972054,20
1,55,240.277466,29
1,51,240.487657,32
1,63,240.744083,24
1,54,240.963283,27
1,50,241.167673,30
1,41,241.333824,24
1,39,241.490967,25
1,44,241.668549,27
1,48,241.863726,29
1,45,242.048895,34
1,50,242.331344,33
1,69,242.630618,34
1,49,242.834987,16
1,55,243.064195,34
1,45,243.251233,27
1,52,243.467429,27
1,44,243.651597,30
1,48,243.850868,11
1,50,244.059056,28
1,46,244.251697,24
1,50,244.545964,30
1,58,244.792341,28
1,54,245.017547,27
1,44,246.935862,21
1,56,247.150057,23
1,75,247.420449,34
1,48,247.594606,33
1,62,247.819971,31
1,85,248.129252,48
1,43,248.35459,33
