#{"t_start": 1679423017.1523116, "env_id": null}
r,l,t,ruined grasses
1,66,524.632047,40
1,68,525.300655,43
1,46,525.750063,26
1,116,526.914902,57
1,78,527.651968,42
1,65,528.262043,37
1,52,528.747485,39
1,61,529.327011,45
1,58,529.839477,39
1,53,530.283881,30
1,54,530.769322,35
1,51,531.334836,31
1,82,532.160591,28
0,480,536.873615,87
1,50,537.300002,32
1,77,543.543183,35
1,49,544.02462,35
1,88,544.88499,44
1,49,545.35979,35
1,54,545.89178,37
1,55,546.38723,37
1,65,547.021807,33
1,80,547.791506,48
1,73,548.504154,42
1,71,549.204792,39
1,82,550.010216,52
1,57,550.570725,28
1,68,551.243687,39
1,78,552.068437,44
1,53,552.576273,39
1,61,553.1558,35
1,154,554.508028,68
1,49,554.988464,29
1,43,555.409847,28
1,97,556.43578,38
1,47,556.896198,32
1,51,557.386644,42
1,48,557.843589,34
1,54,558.359529,39
1,52,558.858982,36
1,96,559.802557,37
1,49,560.287998,36
1,54,560.821483,29
1,54,561.422028,29
1,53,561.938498,34
1,45,562.374894,32
1,52,562.851327,30
1,62,568.988513,31
1,53,569.503982,35
1,76,570.199615,41
1,66,570.762125,35
1,53,571.245565,31
1,45,571.785767,26
1,63,572.426091,30
1,49,572.912532,36
1,67,573.56263,41
1,44,573.9808,34
1,89,574.814993,43
1,56,575.32946,39
1,63,575.916994,43
1,68,576.651662,48
1,57,577.196157,38
1,51,577.681598,33
1,51,578.171043,33
1,56,578.724546,35
1,53,579.244019,35
1,63,579.827549,43
1,53,580.282962,33
1,57,580.799357,44
1,67,581.533461,38
1,52,582.042923,39
1,51,582.526362,25
1,130,583.804701,63
1,42,584.219078,33
1,46,584.670488,31
1,48,585.125902,27
1,49,585.610343,32
1,72,586.448103,39
1,69,587.041644,46
1,102,587.946466,50
1,73,594.850937,45
1,75,595.580599,40
1,123,596.78936,46
0,480,601.471189,76
1,394,605.414344,99
1,67,606.069876,35
1,175,607.812675,59
1,66,608.44876,40
1,136,609.767959,54
1,112,610.755936,62
1,67,611.345447,42
1,81,612.169045,33
1,78,612.893119,26
1,70,613.560725,32
1,79,614.317413,37
1,85,620.523048,49
0,480,625.124582,70
1,69,625.768167,39
1,70,626.454413,40
1,62,627.140785,35
1,61,627.749223,35
1,62,628.348579,48
1,64,628.971145,35
1,68,629.633747,38
1,102,630.606927,45
1,58,631.154931,33
1,89,632.080772,39
1,59,632.646286,36
1,91,633.516798,33
1,57,634.015267,32
1,68,634.583798,37
1,42,634.967097,29
1,88,635.809623,42
1,98,636.812535,42
1,56,637.345525,33
1,72,638.028145,40
1,106,639.043067,57
1,122,645.853798,49
1,83,646.699568,46
1,67,647.451356,33
1,56,647.905769,40
1,89,648.801583,43
1,63,649.382111,42
1,83,650.092263,40
1,118,651.252563,40
1,100,652.198162,42
1,59,652.649427,36
1,101,653.60437,48
1,66,654.251959,42
1,44,654.675344,25
1,55,655.213832,34
1,48,655.684261,36
1,76,656.492995,37
1,52,656.998456,37
1,109,658.06042,46
1,105,659.062325,55
1,73,659.668854,41
1,57,660.209345,35
1,87,661.084293,43
1,110,662.110732,40
1,48,662.554135,34
1,157,664.005468,55
1,53,664.495914,34
1,64,670.546154,38
1,53,671.07063,38
1,48,671.60812,38
1,85,672.442382,37
1,69,673.094694,38
1,65,673.658637,49
1,48,674.096197,34
1,65,674.735778,37
1,40,675.129135,35
1,115,675.958762,47
1,85,676.497763,45
1,90,677.051265,45
1,97,677.655814,47
1,77,678.120237,42
1,69,678.543622,46
1,51,678.841892,35
1,91,679.449444,51
1,42,679.663639,34
1,50,679.930387,35
1,86,680.441852,42
1,73,680.877342,43
1,105,681.503754,47
1,153,682.488404,41
1,48,682.773663,41
1,67,683.176028,40
1,56,683.479304,37
1,45,683.707512,31
1,57,684.054827,27
1,64,684.453189,34
1,54,688.248243,36
1,50,688.634594,31
1,43,688.902193,33
1,76,689.367476,44
1,50,689.672753,30
1,43,689.931869,30
1,53,690.253678,43
1,139,691.097445,59
1,53,691.420739,35
1,71,691.94551,48
1,46,692.221761,31
1,98,692.820305,43
1,43,693.123581,33
1,56,693.464891,38
1,57,693.810205,41
1,56,694.146511,38
1,54,694.474809,31
1,80,695.061342,44
1,63,695.44469,37
1,44,695.716938,31
1,46,696.057247,35
1,51,696.366529,37
1,82,696.86864,47
1,46,697.14638,31
1,55,697.481462,38
1,60,697.851799,32
1,64,698.336238,34
1,61,698.721589,28
1,50,699.027867,37
1,42,699.289104,31
1,51,699.60339,38
1,44,699.874637,33
1,45,700.150888,36
1,96,700.741425,54
1,43,704.508848,33
1,67,705.034153,44
1,115,705.752691,58
1,62,706.138414,39
1,55,706.472718,31
1,52,706.800015,40
1,73,707.2553,45
1,82,707.764763,42
1,48,708.143107,31
1,66,708.616537,46
1,50,708.922815,34
1,56,709.273134,41
1,68,709.718539,47
1,56,710.064853,37
1,50,710.372133,34
1,55,710.705436,31
1,79,711.278957,40
1,60,711.648292,42
1,43,711.905526,32
1,108,712.568634,62
1,97,713.165538,51
1,59,713.55568,37
1,66,713.99608,49
1,56,714.442331,44
1,104,715.137964,55
1,44,715.431231,33
1,46,715.737509,27
1,51,716.077818,31
1,62,716.48719,40
1,62,716.896562,43
1,78,717.411029,34
1,43,717.755341,29
1,51,721.681396,41
1,69,722.334991,35
1,53,722.870837,26
1,50,723.372361,34
1,65,724.021957,32
1,57,724.58647,36
1,71,725.285105,32
1,59,725.852621,35
1,110,726.962629,62
0,480,731.49988,65
1,49,731.959297,34
1,96,732.872128,40
1,49,733.338552,36
1,71,734.002154,29
1,54,734.492599,32
1,90,735.289023,48
1,59,735.869552,32
1,52,736.349587,36
1,58,736.908095,36
1,57,737.448587,35
1,61,738.04063,33
1,108,739.087581,52
1,53,739.603559,38
1,95,740.612099,42
1,67,746.868033,43
1,87,747.731819,45
1,65,748.358896,42
1,200,750.137512,76
1,70,750.890243,33
1,57,751.4413,31
0,480,756.057469,140
1,42,756.4163,31
1,59,756.916755,34
1,59,757.469257,41
1,42,757.886636,30
1,68,758.558266,28
1,52,759.068448,33
1,68,759.733206,37
1,119,761.005857,55
1,85,761.847482,41
1,92,762.7483,40
1,49,763.207717,35
1,75,763.846297,39
1,45,764.249664,29
0,480,774.649923,142
1,64,775.204489,39
1,81,775.983319,38
1,55,776.517539,28
1,45,776.96995,30
1,49,777.390332,34
1,103,778.272134,45
1,69,778.94975,39
1,54,779.485236,33
1,73,780.2159,35
1,48,780.765401,31
1,50,781.25135,37
1,70,781.940179,41
1,85,782.778487,43
1,50,783.282946,40
0,480,788.059783,120
1,49,788.551986,33
1,53,789.093479,42
1,45,789.562419,29
1,79,790.373728,33
1,50,790.947296,34
1,54,791.488929,38
1,44,791.947346,29
1,53,798.152984,31
1,70,798.86263,35
1,44,799.305541,31
1,54,799.852761,35
1,123,801.054435,58
1,60,801.69702,42
1,54,802.15944,34
1,60,802.689922,37
1,46,803.153344,35
1,55,803.711851,34
1,43,804.149248,29
1,43,804.588647,34
1,65,805.243243,40
1,42,805.670138,32
1,88,806.621363,46
1,66,807.294797,43
1,38,807.678145,30
1,58,808.259872,38
1,41,808.672247,30
1,43,809.100636,33
1,46,809.56706,32
1,50,810.069517,31
1,59,810.669062,34
1,51,811.186532,36
1,44,811.724021,34
1,45,812.17543,33
1,47,812.645859,32
1,46,813.104276,36
1,45,813.552187,33
1,48,814.035391,33
1,52,814.546365,36
1,151,815.849246,67
1,91,816.82052,38
1,52,817.334988,37
1,54,817.868473,34
1,50,818.367926,32
1,50,824.353871,31
1,40,824.764451,29
1,40,825.174824,30
1,41,825.5882,32
1,49,826.080647,37
1,48,826.567089,37
1,43,827.068545,25
1,44,827.520956,29
1,61,828.140519,41
1,51,828.661993,33
1,46,829.084918,36
1,67,829.654434,40
1,63,830.253981,40
1,40,830.660349,31
1,49,831.162744,39
1,43,831.597141,36
1,52,832.199194,37
1,46,832.66855,27
1,47,833.146688,37
1,43,833.580101,33
1,42,833.996479,30
1,46,834.443245,33
1,40,834.828596,35
1,38,835.199933,35
1,42,835.622317,32
1,52,836.139787,31
1,44,836.569178,32
1,43,837.063627,31
1,39,837.434965,30
1,46,837.882372,34
1,47,838.338787,27
1,64,838.885283,30
1,48,839.297658,38
1,41,839.68501,31
1,42,840.098478,33
1,78,840.874673,41
1,50,841.373126,36
1,62,842.051385,43
1,80,842.838099,44
1,45,843.285506,32
1,46,843.737917,32
1,57,844.293422,37
1,41,850.23745,32
1,44,850.678851,32
1,59,851.254446,37
1,50,851.730936,33
1,50,852.275436,36
1,44,852.713836,37
1,58,853.288357,34
1,60,853.841859,45
1,109,854.768702,56
1,159,856.37316,60
1,58,856.942677,33
1,123,858.167534,58
1,65,858.766435,35
1,106,859.774495,42
1,46,860.2199,40
1,94,861.127736,45
1,48,861.592146,32
1,63,862.26676,44
