#{"t_start": 1679418268.8367305, "env_id": null}
r,l,t,ruined grasses
1,21,72.007708,17
1,30,72.100793,14
1,30,72.19388,15
1,24,72.273477,17
1,39,72.400599,14
1,43,72.540734,20
1,47,72.690876,15
1,24,72.768981,17
1,54,72.959696,21
1,26,73.049792,17
1,46,73.254001,20
1,40,73.399209,13
1,46,73.556353,19
1,47,73.752384,15
1,52,73.925562,13
1,40,74.047678,14
1,34,74.14877,15
1,24,74.219835,16
1,37,74.329935,14
1,25,74.404002,17
1,33,74.50109,7
1,25,74.57516,15
1,47,74.720292,20
1,41,74.909463,14
1,40,75.07061,19
1,25,75.153686,19
1,22,75.22475,16
1,37,75.340864,17
1,56,75.520029,13
1,24,75.596101,11
1,25,75.676174,15
1,46,75.823308,23
1,34,75.930405,14
1,39,76.051515,17
1,42,76.183635,17
1,29,77.917213,16
1,42,78.04633,13
1,30,78.179456,7
1,38,78.313146,16
1,28,78.41525,15
1,23,78.485314,8
1,26,78.565386,12
1,30,78.65747,9
1,22,78.724531,14
1,24,78.799599,15
1,26,78.881683,17
1,29,78.970757,18
1,20,79.033814,15
1,26,79.114888,19
1,33,79.217982,18
1,37,79.333086,16
1,26,79.41416,11
1,20,79.482222,11
1,30,79.577308,13
1,26,79.657596,13
1,25,79.735667,12
1,52,79.939361,15
1,41,80.072482,22
1,18,80.130535,11
1,21,80.196595,12
1,21,80.260653,11
1,33,80.364748,16
1,36,80.481854,13
1,30,80.579946,14
1,29,80.671028,17
1,35,80.781128,23
1,35,80.89223,19
1,35,81.004331,20
1,28,81.093412,14
1,38,81.215523,9
1,30,81.31061,19
1,28,81.434722,8
1,32,81.546824,17
1,30,81.645915,9
1,20,81.709973,12
1,21,81.779036,13
1,27,81.865114,8
1,26,81.94919,17
1,20,82.01525,13
1,23,82.089317,14
1,26,82.172393,18
1,40,82.302511,16
1,43,82.441651,8
1,28,82.533735,12
1,29,82.62782,14
1,23,82.700887,17
1,43,82.840014,20
1,34,82.951114,20
1,35,83.102251,12
1,27,83.197338,16
1,22,83.275409,16
1,28,83.368494,12
1,23,83.442561,14
1,31,83.546656,20
1,26,83.631733,18
1,37,83.753844,24
1,39,83.879958,18
1,38,84.004071,13
1,52,84.172224,21
1,28,84.265308,16
1,18,84.32236,13
1,38,84.447474,17
1,24,84.524544,10
1,26,84.609621,17
1,34,86.351891,17
1,26,86.468997,7
1,26,86.557077,18
1,22,86.631145,15
1,24,86.705212,11
1,28,86.791291,10
1,24,86.866359,12
1,26,86.94543,15
1,39,87.067541,7
1,27,87.149616,10
1,28,87.234693,15
1,26,87.314766,10
1,18,87.370817,9
1,23,87.442882,13
1,30,87.536968,9
1,23,87.610034,13
1,28,87.700116,7
1,28,87.787195,20
1,26,87.87027,4
1,27,87.956349,7
1,34,88.106485,6
1,22,88.190561,13
1,22,88.261627,16
1,29,88.354711,14
1,20,88.417768,11
1,27,88.504848,7
1,31,88.602937,15
1,21,88.669997,13
1,20,88.734056,15
1,35,88.844157,15
1,21,88.911217,14
1,27,88.998296,6
1,19,89.05835,16
1,22,89.129415,10
1,26,89.213492,12
1,32,89.316585,16
1,35,89.427686,14
1,28,89.517768,13
1,30,89.614859,22
1,22,89.724958,17
1,33,89.83606,15
1,27,89.924665,12
1,32,90.027759,19
1,23,90.104833,12
1,24,90.183905,10
1,26,90.268982,10
1,18,90.327035,13
1,38,90.452149,19
1,28,90.543231,13
1,30,90.642322,5
1,34,90.752424,13
1,36,90.871532,16
1,26,90.956609,13
1,24,91.03468,14
1,32,91.139776,11
1,22,91.213843,17
1,31,91.347967,15
1,30,91.458067,8
1,25,91.548149,15
1,18,91.608204,13
1,25,91.691279,6
1,32,91.796375,18
1,27,91.885456,13
1,19,91.948513,10
1,27,92.036593,13
1,28,92.129678,11
1,24,92.209751,16
1,30,92.30784,16
1,22,92.381907,13
1,18,92.438959,9
1,28,92.531042,11
1,34,92.642143,11
1,20,92.707203,14
1,22,92.780269,5
1,20,92.846329,1
1,21,92.914391,10
1,24,92.992462,11
1,20,93.092552,17
1,23,94.792112,13
1,29,94.881193,16
1,21,94.946252,9
1,23,95.017317,6
1,22,95.085379,16
1,27,95.169455,13
1,25,95.246525,12
1,22,95.314587,12
1,25,95.392658,15
1,29,95.481739,6
1,22,95.549801,14
1,22,95.617862,15
1,20,95.679919,13
1,22,95.747981,17
1,28,95.834059,8
1,22,95.903122,4
1,21,95.968181,12
1,22,96.037244,17
1,26,96.119318,5
1,26,96.202394,13
1,21,96.307489,16
1,22,96.379555,6
1,22,96.456626,12
1,28,96.546708,11
1,31,96.646799,16
1,27,96.733878,11
1,21,96.799938,14
1,22,96.870002,12
1,19,96.929055,10
1,26,97.012131,9
1,21,97.079192,14
1,30,97.175279,10
1,23,97.250347,13
1,21,97.318409,9
1,26,97.402486,11
1,23,97.476553,15
1,31,97.578645,17
1,20,97.643705,9
1,20,97.707763,12
