#{"t_start": 1679479579.2301593, "env_id": "FrozenLake-v1"}
r,l,t
0.0,6,6.823094
1.0,12,6.844115
0.0,2,6.848121
0.0,5,6.856128
0.0,9,6.871144
0.0,6,6.881153
0.0,9,6.89717
0.0,9,6.911183
0.0,5,6.921192
0.0,21,6.957227
0.0,10,6.974244
0.0,3,6.98025
0.0,3,6.985255
0.0,7,6.997266
0.0,2,7.001269
0.0,5,7.009276
0.0,15,7.034302
0.0,11,7.052823
0.0,5,7.060831
0.0,11,7.080849
0.0,4,7.086857
0.0,4,7.092863
0.0,4,7.100872
0.0,4,7.107878
0.0,6,7.11789
0.0,6,7.127899
0.0,9,7.143119
0.0,9,7.158684
0.0,6,7.169693
0.0,4,7.1767
0.0,8,7.190712
0.0,2,7.193715
0.0,4,7.201727
0.0,7,7.214739
0.0,8,7.227751
0.0,6,7.239765
0.0,2,7.242767
0.0,2,7.246772
0.0,9,7.261785
0.0,5,7.271956
0.0,16,7.300349
0.0,2,7.304353
0.0,26,7.350395
0.0,35,7.45001
0.0,10,7.468027
0.0,10,7.485044
0.0,7,7.498056
0.0,13,7.520076
0.0,6,7.532087
0.0,3,7.537146
0.0,6,7.550159
0.0,4,7.557165
0.0,4,7.566173
0.0,4,7.572178
0.0,2,7.576182
0.0,3,7.583189
0.0,23,7.626227
0.0,5,7.637238
0.0,9,7.654253
0.0,6,7.667276
0.0,4,7.673275
0.0,5,7.684285
0.0,2,7.688289
0.0,5,7.697297
0.0,7,7.710308
1.0,20,7.75035
0.0,14,7.776373
0.0,13,7.802397
0.0,10,7.821414
0.0,13,7.845438
0.0,4,7.854447
0.0,16,7.885475
0.0,8,7.901489
0.0,3,7.905493
0.0,7,7.919506
0.0,7,7.934027
0.0,6,7.944036
0.0,2,7.950042
1.0,10,7.969059
0.0,2,7.972062
0.0,11,7.993081
0.0,7,8.007098
0.0,6,8.019109
0.0,13,8.043019
0.0,5,8.05303
0.0,6,8.066043
0.0,11,8.086066
0.0,2,8.089069
0.0,2,8.093075
0.0,2,8.09808
0.0,6,8.108124
0.0,6,8.121137
0.0,4,8.127142
0.0,12,8.152165
0.0,7,8.166183
0.0,5,8.174187
0.0,5,8.185202
0.0,6,8.19421
0.0,8,8.210224
0.0,13,8.236311
0.0,4,8.243334
0.0,5,8.254361
0.0,3,8.258365
0.0,3,8.266387
0.0,5,8.274409
0.0,5,8.285434
0.0,2,8.288437
0.0,2,8.291952
1.0,9,8.309487
0.0,13,8.335555
0.0,13,8.359609
0.0,6,8.372162
0.0,8,8.423753
0.0,5,8.434767
0.0,11,8.45579
0.0,4,8.465801
0.0,3,8.471815
0.0,3,8.476815
0.0,6,8.490832
0.0,12,8.515864
0.0,9,8.533885
0.0,11,8.553912
0.0,6,8.565924
0.0,5,8.574935
0.0,2,8.577938
0.0,2,8.583945
0.0,6,8.593956
0.0,15,8.623995
0.0,16,8.656031
0.0,5,8.666552
0.0,10,8.684569
1.0,15,8.713372
0.0,5,8.722415
0.0,3,8.727413
0.0,3,8.735424
0.0,3,8.740428
0.0,10,8.759448
0.0,7,8.774462
0.0,6,8.786477
0.0,12,8.8095
0.0,7,8.823519
0.0,6,8.835534
0.0,3,8.840539
0.0,4,8.849552
0.0,8,8.865579
0.0,5,8.874587
0.0,4,8.883597
0.0,17,8.917628
0.0,2,8.920631
0.0,9,8.938647
0.0,13,8.964671
0.0,6,8.975681
0.0,2,8.978684
0.0,4,8.988693
0.0,5,8.999703
0.0,3,9.004708
0.0,21,9.04475
0.0,15,9.075788
0.0,7,9.090803
0.0,9,9.107823
0.0,11,9.128849
0.0,3,9.135858
0.0,15,9.165893
0.0,2,9.169897
0.0,9,9.186916
0.0,5,9.195928
0.0,12,9.219958
0.0,10,9.238981
0.0,5,9.249993
0.0,2,9.253005
0.0,5,9.261005
0.0,4,9.270946
0.0,9,9.288968
0.0,16,9.320008
0.0,7,9.335027
0.0,11,9.356051
0.0,7,9.369611
0.0,2,9.373622
1.0,9,9.391567
0.0,7,9.405587
0.0,8,9.459586
0.0,3,9.467596
0.0,9,9.485617
0.0,2,9.48862
0.0,2,9.492623
0.0,2,9.49663
0.0,6,9.508644
0.0,6,9.521658
0.0,16,9.553939
0.0,10,9.572957
0.0,15,9.604988
0.0,3,9.609992
0.0,10,9.632012
0.0,2,9.636019
0.0,11,9.657037
0.0,9,9.67506
0.0,3,9.683067
0.0,8,9.700082
0.0,16,9.735162
0.0,3,9.740163
0.0,11,9.765186
0.0,22,9.810744
0.0,7,9.827018
0.0,8,9.845035
0.0,4,9.855555
0.0,5,9.866565
0.0,4,9.873572
0.0,11,9.896598
0.0,10,9.919626
0.0,10,9.938645
0.0,4,9.946652
0.0,3,9.953661
0.0,5,9.961668
0.0,3,9.969998
0.0,3,9.975003
0.0,7,9.989542
0.0,4,9.99855
0.0,3,10.003554
0.0,11,10.024574
0.0,5,10.035587
0.0,2,10.03859
1.0,9,10.055129
0.0,6,10.068141
0.0,3,10.073146
0.0,5,10.084163
0.0,4,10.091166
0.0,16,10.122194
0.0,10,10.141212
0.0,4,10.150229
0.0,2,10.15423
0.0,5,10.163239
0.0,4,10.17125
0.0,2,10.174253
0.0,9,10.192269
0.0,6,10.203822
0.0,4,10.210829
0.0,18,10.248105
0.0,8,10.262122
0.0,10,10.284143
0.0,4,10.29115
0.0,2,10.294152
0.0,2,10.300111
0.0,2,10.304088
0.0,4,10.310094
0.0,17,10.344125
0.0,6,10.356141
0.0,12,10.381164
0.0,13,10.405216
0.0,4,10.412232
0.0,13,10.439255
0.0,4,10.446264
0.0,18,10.517861
0.0,5,10.525868
0.0,4,10.535404
0.0,6,10.548434
0.0,4,10.555455
0.0,6,10.569485
0.0,21,10.61059
0.0,6,10.623636
0.0,8,10.639669
0.0,4,10.649701
0.0,2,10.652724
0.0,6,10.665732
0.0,11,10.687723
0.0,5,12.205616
0.0,10,12.221631
0.0,6,12.230639
0.0,6,12.240648
0.0,5,12.248656
0.0,2,12.251658
0.0,2,12.254661
0.0,12,12.273679
0.0,2,12.277682
0.0,12,12.2967
0.0,4,12.302705
0.0,3,12.307709
0.0,8,12.31972
0.0,4,12.326729
0.0,5,12.334738
0.0,2,12.337741
0.0,23,12.373783
0.0,4,12.380789
0.0,4,12.386797
0.0,11,12.405098
0.0,6,12.414109
0.0,5,12.423138
0.0,6,12.432128
0.0,7,12.443141
0.0,5,12.453159
0.0,5,12.461159
0.0,4,12.468171
0.0,15,12.493207
0.0,15,12.516227
0.0,10,12.532243
0.0,14,12.55427
0.0,2,12.557272
0.0,7,12.568285
0.0,8,12.581299
0.0,6,12.590309
0.0,3,12.595316
0.0,9,12.608962
0.0,3,12.613968
0.0,18,12.641993
0.0,7,12.653003
0.0,13,12.674021
0.0,7,12.685032
0.0,5,12.693039
0.0,4,12.699044
0.0,4,12.70505
0.0,2,12.709053
0.0,8,12.721065
0.0,4,12.728071
0.0,13,12.74909
0.0,6,12.759099
0.0,6,12.769108
0.0,5,12.777116
0.0,10,12.794131
0.0,4,12.800137
0.0,5,12.809145
0.0,6,12.823158
0.0,3,12.828162
0.0,11,12.84818
0.0,11,12.902229
0.0,10,12.919245
0.0,6,12.929254
0.0,3,12.934258
0.0,10,12.950275
0.0,3,12.956281
0.0,8,12.974297
0.0,3,12.980302
0.0,2,12.987323
0.0,2,12.990324
0.0,3,12.998331
0.0,17,13.033503
0.0,14,13.060536
0.0,4,13.068543
0.0,3,13.073548
0.0,3,13.078553
0.0,3,13.083557
0.0,12,13.102574
0.0,12,13.124594
0.0,7,13.137606
0.0,6,13.148617
0.0,4,13.154622
0.0,6,13.164631
0.0,2,13.167634
0.0,5,13.176642
1.0,9,13.190655
0.0,7,13.201665
0.0,2,13.205669
0.0,6,13.214676
0.0,3,13.219681
0.0,8,13.232692
0.0,21,13.266724
0.0,8,13.279736
0.0,9,13.293748
0.0,8,13.30676
0.0,2,13.310764
0.0,5,13.320773
0.0,13,13.342793
0.0,9,13.356806
0.0,2,13.360809
0.0,6,13.369818
0.0,5,13.378826
0.0,8,13.391838
0.0,2,13.39484
0.0,3,13.399845
0.0,17,13.42787
0.0,3,13.432875
0.0,3,13.43788
0.0,6,13.447889
0.0,2,13.450891
0.0,2,13.454895
0.0,4,13.460901
0.0,2,13.464904
0.0,2,13.467907
0.0,9,13.485923
0.0,11,13.503939
0.0,6,13.513948
0.0,2,13.516951
0.0,13,13.537971
0.0,2,13.541974
0.0,2,13.544977
0.0,19,13.576006
0.0,11,13.594021
0.0,21,13.629053
0.0,2,13.632056
0.0,3,13.637061
0.0,10,13.653075
0.0,2,13.657079
0.0,11,13.678098
0.0,4,13.684103
0.0,10,13.701119
0.0,7,13.712129
0.0,3,13.717133
0.0,9,13.732147
0.0,10,13.748162
0.0,6,13.794204
0.0,12,13.814221
0.0,3,13.819226
0.0,3,13.824231
0.0,8,13.837243
0.0,2,13.841246
0.0,8,13.854258
0.0,23,13.895295
0.0,8,13.908307
0.0,2,13.912311
0.0,16,13.938335
1.0,14,13.961872
0.0,7,13.973875
0.0,6,13.983884
0.0,11,14.0019
0.0,4,14.008907
0.0,8,14.021919
0.0,4,14.028925
0.0,7,14.040936
1.0,10,14.059953
0.0,14,14.083975
0.0,5,14.091982
0.0,5,14.099989
0.0,2,14.103993
0.0,3,14.108998
0.0,8,14.12201
0.0,4,14.129016
0.0,10,14.146031
0.0,7,14.158042
0.0,15,14.183065
0.0,2,14.186068
0.0,4,14.193074
0.0,7,14.205085
0.0,9,14.220099
0.0,18,14.253129
0.0,13,14.275149
0.0,6,14.285158
0.0,10,14.302173
0.0,2,14.305176
0.0,2,14.30918
0.0,11,14.327199
0.0,5,14.336207
0.0,2,14.33921
0.0,6,14.35022
0.0,7,14.362231
0.0,13,14.38425
0.0,21,14.423286
0.0,18,14.454314
0.0,10,14.472331
0.0,8,14.485343
0.0,6,14.496353
0.0,2,14.499356
0.0,2,14.50336
1.0,10,14.520375
0.0,2,14.524378
0.0,5,14.532385
0.0,6,14.542394
0.0,6,14.553405
0.0,2,14.556407
0.0,5,14.565415
0.0,15,14.590438
0.0,7,14.602449
0.0,3,14.607454
0.0,11,14.630475
0.0,3,14.635479
0.0,9,14.650493
0.0,13,14.708545
0.0,11,14.727563
0.0,8,14.741575
0.0,2,14.744578
0.0,16,14.771603
0.0,9,14.787618
0.0,5,14.796625
0.0,6,14.809638
1.0,12,14.830657
0.0,11,14.849674
0.0,7,14.861685
0.0,40,14.930748
0.0,3,14.935752
0.0,7,14.948764
0.0,9,14.964779
0.0,2,14.967782
0.0,4,14.974787
0.0,4,14.981794
0.0,6,14.994806
0.0,7,15.007818
0.0,3,15.012822
0.0,6,15.022832
0.0,7,15.035843
0.0,10,15.052858
0.0,5,15.061867
0.0,4,15.068873
0.0,4,15.07588
0.0,4,15.082886
0.0,12,15.104906
0.0,3,15.10991
0.0,20,15.144943
0.0,5,15.15395
0.0,4,15.160957
0.0,7,15.172968
0.0,2,15.178973
0.0,5,15.187982
0.0,3,15.192986
0.0,4,15.199992
0.0,5,15.209001
0.0,5,15.217008
0.0,3,15.223014
0.0,4,15.229019
0.0,4,15.236025
0.0,7,15.249038
0.0,3,15.254042
0.0,13,15.276062
0.0,3,15.281066
0.0,6,15.292076
0.0,7,15.304088
0.0,10,15.322103
0.0,16,15.349128
0.0,9,15.368146
0.0,2,15.371148
0.0,4,15.378155
0.0,5,15.387162
0.0,29,15.438209
1.0,7,15.45022
0.0,12,15.471239
0.0,15,15.497263
0.0,21,15.533296
0.0,3,15.539301
0.0,2,15.542304
0.0,5,15.554315
0.0,12,15.612367
0.0,5,15.626382
0.0,14,15.66795
0.0,12,15.699497
0.0,2,15.705522
0.0,4,15.715036
0.0,8,15.737577
0.0,4,15.744587
0.0,5,15.759569
0.0,3,15.770555
0.0,4,15.777578
0.0,2,15.787081
0.0,5,15.79704
0.0,6,15.810053
0.0,2,15.81506
0.0,4,15.82307
0.0,5,15.831077
0.0,5,15.840088
0.0,3,15.845094
0.0,2,15.849098
0.0,4,15.856106
0.0,4,15.863114
0.0,7,15.875127
0.0,21,15.911168
0.0,3,15.917175
0.0,3,15.922187
0.0,9,17.50139
0.0,9,17.51791
0.0,5,17.524917
0.0,4,17.532927
0.0,2,17.53593
0.0,10,17.553948
0.0,7,17.565959
0.0,10,17.583976
0.0,2,17.586978
0.0,4,17.592984
0.0,16,17.621032
0.0,12,17.642051
0.0,3,17.648057
0.0,2,17.651059
0.0,2,17.654062
0.0,7,17.667076
0.0,3,17.67108
0.0,4,17.678086
0.0,8,17.692099
0.0,7,17.705026
0.0,5,17.714034
0.0,9,17.730049
